,country,year,gender,gold,silver,bronze,total
0,United States,1896,male,11,7,2,20
1,Greece,1896,male,10,16,18,44
2,France,1896,male,5,4,2,11
3,Germany,1896,male,4,5,2,11
4,Great Britain,1896,male,2,3,2,7
5,Hungary,1896,male,2,1,3,6
6,Austria,1896,male,2,1,2,5
7,Australia,1896,male,2,0,0,2
8,Denmark,1896,male,1,2,3,6
9,Switzerland,1896,male,1,2,0,3
10,France,1900,male,21,22,22,65
11,United States,1900,male,18,13,12,43
12,Great Britain,1900,male,8,6,7,21
13,Belgium,1900,male,6,4,5,15
14,Italy,1900,male,3,2,0,5
15,Switzerland,1900,male,3,1,1,5
16,Denmark,1900,male,1,3,2,6
17,Hungary,1900,male,1,2,2,5
18,Cuba,1900,male,1,1,0,2
19,Germany,1900,male,1,1,0,2
20,Austria,1900,male,0,3,3,6
21,India,1900,male,0,2,0,2
22,Norway,1900,male,0,1,3,4
23,Bohemia,1900,male,0,1,0,1
24,Australia,1900,male,0,0,3,3
25,Netherlands,1900,male,0,0,1,1
26,Sweden,1900,male,0,0,1,1
27,United States,1904,male,65,69,69,203
28,Germany,1904,male,5,4,5,14
29,Cuba,1904,male,3,0,0,3
30,Hungary,1904,male,2,1,1,4
31,Canada,1904,male,2,0,0,2
32,Great Britain,1904,male,1,1,0,2
33,Greece,1904,male,1,0,1,2
34,Great Britain,1908,male,30,31,25,86
35,United States,1908,male,20,11,11,42
36,Sweden,1908,male,6,3,8,17
37,France,1908,male,2,5,5,12
38,Hungary,1908,male,2,3,1,6
39,Canada,1908,male,2,2,5,9
40,Germany,1908,male,2,2,4,8
41,Italy,1908,male,2,1,0,3
42,Norway,1908,male,1,2,3,6
43,Russian Federation,1908,male,1,2,0,3
44,Finland,1908,male,1,1,2,4
45,Belgium,1908,male,1,1,1,3
46,South Africa,1908,male,1,1,0,2
47,Greece,1908,male,0,3,1,4
48,Australasia,1908,male,0,2,2,4
49,Denmark,1908,male,0,1,3,4
50,Austria,1908,male,0,0,1,1
51,Bohemia,1908,male,0,0,1,1
52,United States,1912,male,21,17,15,53
53,Sweden,1912,male,11,14,14,39
54,Finland,1912,male,9,5,6,20
55,Germany,1912,male,4,10,4,18
56,France,1912,male,4,3,1,8
57,Italy,1912,male,4,1,2,7
58,Canada,1912,male,3,2,3,8
59,South Africa,1912,male,3,2,0,5
60,Great Britain,1912,male,2,6,5,13
61,Hungary,1912,male,2,1,3,6
62,Belgium,1912,male,1,1,2,4
63,Greece,1912,male,1,0,1,2
64,Denmark,1912,male,0,2,2,4
65,Australasia,1912,male,0,1,3,4
66,Russian Federation,1912,male,0,1,2,3
67,Norway,1912,male,0,1,1,2
68,Austria,1912,male,0,0,1,1
69,United States,1920,male,23,21,20,64
70,Sweden,1920,male,13,14,15,42
71,Finland,1920,male,13,9,7,29
72,Belgium,1920,male,9,5,8,22
73,Italy,1920,male,8,4,4,16
74,France,1920,male,6,9,6,21
75,Great Britain,1920,male,5,7,10,22
76,Norway,1920,male,4,3,5,12
77,South Africa,1920,male,3,1,2,6
78,Canada,1920,male,2,3,3,8
79,Switzerland,1920,male,1,2,3,6
80,Estonia,1920,male,1,2,0,3
81,Brazil,1920,male,1,1,0,2
82,Netherlands,1920,male,1,0,2,3
83,Denmark,1920,male,0,7,1,8
84,Australia,1920,male,0,1,1,2
85,Japan,1920,male,0,1,0,1
86,Luxembourg,1920,male,0,1,0,1
87,New Zealand,1920,male,0,0,1,1
88,United States,1924,male,27,19,18,64
89,Finland,1924,male,12,13,9,34
90,France,1924,male,9,7,9,25
91,Great Britain,1924,male,6,6,7,19
92,Switzerland,1924,male,5,6,7,18
93,Italy,1924,male,5,2,2,9
94,Sweden,1924,male,3,10,6,19
95,Belgium,1924,male,3,3,2,8
96,Australia,1924,male,3,0,2,5
97,Hungary,1924,male,2,2,3,7
98,Norway,1924,male,2,1,3,6
99,Netherlands,1924,male,2,1,1,4
100,Yugoslavia,1924,male,2,0,0,2
101,Czechoslovakia,1924,male,1,4,5,10
102,Denmark,1924,male,1,4,2,7
103,Estonia,1924,male,1,1,4,6
104,South Africa,1924,male,1,1,1,3
105,Luxembourg,1924,male,1,1,0,2
106,Greece,1924,male,1,0,0,1
107,Argentina,1924,male,0,3,2,5
108,Austria,1924,male,0,3,1,4
109,Ireland,1924,male,0,1,1,2
110,Canada,1924,male,0,0,1,1
111,Japan,1924,male,0,0,1,1
112,Monaco,1924,male,0,0,1,1
113,New Zealand,1924,male,0,0,1,1
114,Poland,1924,male,0,0,1,1
115,United States,1928,male,11,12,12,35
116,Finland,1928,male,8,8,9,25
117,Sweden,1928,male,7,5,6,18
118,France,1928,male,6,9,5,20
119,Germany,1928,male,5,7,13,25
120,Switzerland,1928,male,5,5,4,14
121,Netherlands,1928,male,4,4,3,11
122,Hungary,1928,male,4,4,0,8
123,Italy,1928,male,3,4,5,12
124,Great Britain,1928,male,3,3,2,8
125,Argentina,1928,male,3,2,0,5
126,Austria,1928,male,3,0,0,3
127,Czechoslovakia,1928,male,2,4,2,8
128,Canada,1928,male,2,2,3,7
129,Denmark,1928,male,2,1,4,7
130,Egypt,1928,male,2,1,1,4
131,Estonia,1928,male,2,1,1,4
132,Japan,1928,male,2,0,1,3
133,Australia,1928,male,1,2,1,4
134,Yugoslavia,1928,male,1,1,2,4
135,Poland,1928,male,1,0,1,2
136,South Africa,1928,male,1,0,1,2
137,Ireland,1928,male,1,0,0,1
138,Luxembourg,1928,male,1,0,0,1
139,New Zealand,1928,male,1,0,0,1
140,Belgium,1928,male,0,1,1,2
141,Norway,1928,male,0,1,1,2
142,Chile,1928,male,0,1,0,1
143,Haiti,1928,male,0,1,0,1
144,Philippines,1928,male,0,0,1,1
145,United States,1932,male,25,26,21,72
146,Italy,1932,male,9,7,10,26
